Model,Group,Attribute,Ref_Group,TP,FP,TN,FN,N,Group Exclusion Error (FNR),Ref Exclusion Error (FNR),Exclusion Ratio,Exclusion Sig,Group Inclusion Error (FPR),Ref Inclusion Error (FPR),Actual Poverty Share,Predicted Poverty Share,Recall_Group,Recall_Ref,Precision_Group,Precision_Ref
KCHS,County,Vihiga,Rest,38,16,37,18,109,32.14,39.24,0.82,insig,30.19,15.97,51.38,49.54,67.86,60.76,70.37,71.03
KCHS,County,Kilifi,Rest,26,10,39,28,103,51.85,38.4,1.35,*,20.41,16.23,52.43,34.95,48.15,61.6,72.22,70.96
KCHS,County,Kakamega,Rest,21,6,47,17,91,44.74,38.77,1.15,insig,11.32,16.47,41.76,29.67,55.26,61.23,77.78,70.83
KCHS,County,Tharaka Nithi,Rest,3,2,75,11,91,78.57,38.53,2.04,***,2.6,16.87,15.38,5.49,21.43,61.47,60.0,71.04
KCHS,County,Siaya,Rest,11,3,56,21,91,65.62,38.29,1.71,***,5.08,16.67,35.16,15.38,34.38,61.71,78.57,70.9
KCHS,County,Nairobi,Rest,6,3,75,6,90,50.0,38.84,1.29,insig,3.85,16.83,13.33,10.0,50.0,61.16,66.67,71.03
KCHS,County,Nandi,Rest,13,5,51,20,89,60.61,38.4,1.58,**,8.93,16.54,37.08,20.22,39.39,61.6,72.22,70.98
KCHS,County,Machakos,Rest,9,6,55,18,88,66.67,38.37,1.74,***,9.84,16.53,30.68,17.05,33.33,61.63,60.0,71.14
KCHS,County,Kwale,Rest,23,4,39,22,88,48.89,38.6,1.27,insig,9.3,16.48,51.14,30.68,51.11,61.4,85.19,70.66
KCHS,County,Embu,Rest,4,6,59,19,88,82.61,38.18,2.16,***,9.23,16.57,26.14,11.36,17.39,61.82,40.0,71.27
KCHS,County,Trans Nzoia,Rest,14,9,51,14,88,50.0,38.71,1.29,insig,15.0,16.37,31.82,26.14,50.0,61.29,60.87,71.2
KCHS,County,Murang'a,Rest,14,7,48,14,83,50.0,38.71,1.29,insig,12.73,16.43,33.73,25.3,50.0,61.29,66.67,71.08
KCHS,County,Homa Bay,Rest,14,6,58,5,83,26.32,39.12,0.67,insig,9.38,16.56,22.89,24.1,73.68,60.88,70.0,71.01
KCHS,County,Laikipia,Rest,14,10,48,9,81,39.13,38.94,1.0,insig,17.24,16.31,28.4,29.63,60.87,61.06,58.33,71.26
KCHS,County,Uasin Gishu,Rest,20,11,40,10,81,33.33,39.07,0.85,insig,21.57,16.2,37.04,38.27,66.67,60.93,64.52,71.17
KCHS,County,Kisii,Rest,24,12,37,7,80,22.58,39.33,0.57,*,24.49,16.13,38.75,45.0,77.42,60.67,66.67,71.13
KCHS,County,Makueni,Rest,22,15,34,9,80,29.03,39.18,0.74,insig,30.61,15.98,38.75,46.25,70.97,60.82,59.46,71.38
KCHS,County,Nyeri,Rest,10,2,54,14,80,58.33,38.59,1.51,*,3.57,16.69,30.0,15.0,41.67,61.41,83.33,70.87
KCHS,County,Baringo,Rest,17,5,44,13,79,43.33,38.84,1.12,insig,10.2,16.48,37.97,27.85,56.67,61.16,77.27,70.87
KCHS,County,Kiambu,Rest,5,2,54,16,77,76.19,38.35,1.99,***,3.57,16.69,27.27,9.09,23.81,61.65,71.43,70.99
KCHS,County,Meru,Rest,8,6,48,14,76,63.64,38.53,1.65,**,11.11,16.47,28.95,18.42,36.36,61.47,57.14,71.17
KCHS,County,Busia,Rest,36,12,17,10,75,21.74,39.55,0.55,**,41.38,15.97,61.33,64.0,78.26,60.45,75.0,70.82
KCHS,County,Nyamira,Rest,14,13,38,9,74,39.13,38.94,1.0,insig,25.49,16.1,31.08,36.49,60.87,61.06,51.85,71.45
KCHS,County,Kirinyaga,Rest,7,5,49,13,74,65.0,38.55,1.69,**,9.26,16.52,27.03,16.22,35.0,61.45,58.33,71.13
KCHS,County,Nyandarua,Rest,5,11,40,18,74,78.26,38.26,2.05,***,21.57,16.2,31.08,21.62,21.74,61.74,31.25,71.55
